Dataset,Quantile,Execution_Level,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
Sepsis,0.95,0.25,BMSE,0.8644230769230768,0.18980949457487428,0.09202020202020203,0.0711748595113941
Sepsis,0.95,0.25,SERA,0.9807692307692306,1.2412670766236366e-16,0.2,0.0
Sepsis,0.95,0.5,Quantile,0.6807692307692308,0.18841002043101782,0.022585142567665365,0.016669368577822585
Sepsis,0.95,0.5,Vanilla,0.8548076923076924,0.05411591082790466,0.03525765015126718,0.011249084376601895
Sepsis,0.95,0.5,CSW,0.9028846153846155,0.005266563052934271,0.04726708074534162,0.0023556127517123846
Sepsis,0.95,0.5,EAL,0.6692307692307692,0.1956854796674059,0.020554716601228228,0.015762079976153393
Sepsis,0.95,0.5,BMSE,0.8788461538461538,0.03791681567909683,0.04036231884057971,0.009246586931418384
Sepsis,0.95,0.5,SERA,0.8653846153846153,1.2412670766236366e-16,0.034482758620689655,0.0
Sepsis,0.95,0.75,Quantile,0.6211538461538462,0.13873337365067223,0.015113463401134637,0.00914738818336455
Sepsis,0.95,0.75,Vanilla,0.6903846153846154,0.023942114611516782,0.015363536719035443,0.0011988295316529424
Sepsis,0.95,0.75,CSW,0.7067307692307693,0.01359820733051053,0.016154473533969496,0.000697199446723432
Sepsis,0.95,0.75,EAL,0.573076923076923,0.1432418017109407,0.012054569595480978,0.003575755423427216
Sepsis,0.95,0.75,BMSE,0.6701923076923076,0.06526785389055849,0.014784583780544841,0.0027180527137734742
Sepsis,0.95,0.75,SERA,0.5913461538461539,0.0,0.011627906976744186,0.0
BPIC20ID,0.8,0.25,Vanilla,0.6259133858267717,0.012850076468602438,0.05299351399866427,0.013710949556202567
BPIC20ID,0.8,0.25,CSW,0.630259842519685,0.010999361662019938,0.0518791830617729,0.004485577262616086
